Task Name,Sub-tasks,Output,Title,URL
"What is known about transmission, incubation, and environmental stability?",Seasonality of transmission.,"easonal variations among the transmission of respiratory viruses reflect the risk of animal-human transmission, difference in the circulating viruses, and the natural reservoirs of specific viruses [4] . Since the emergence of MERS-CoV, it was though that MERS-CoV transmission occurs through two seasons: the spring (March-May) and the fall (September-November) [5] . Seasonal variation may occur due to dromedaries' calving season (November and March). In one study, the prevalence of MERS-CoV was higher among camels in the winter time (71.5%) than the summer time (6.2%) [6] .",Lack of seasonal variation of Middle East Respiratory Syndrome Coronavirus (MERS-CoV),https://doi.org/10.1016/j.tmaid.2018.09.002
"What is known about transmission, incubation, and environmental stability?",Seasonality of transmission.,"Transmission varies seasonally; in most European countries cryptosporidiosis cases are mainly reported in late summer and autumn (August-October) [35] , with some countries also having a smaller peak in spring. There is good evidence from outbreaks and molecular analytical epidemiology that the spring peak is mostly attributable to C. parvum and may be related to lambing and calving, while the summer/autumn peak is mainly C. hominis and is associated with swimming pools and foreign travel [96] .",A One Health Approach to Tackle Cryptosporidiosis,https://doi.org/10.1016/j.pt.2019.12.016
"What is known about transmission, incubation, and environmental stability?",Role of the environment in transmission,"orona virus is a single-stranded, enveloped RNA virus 1 that is spherical or pleomorphic in shape with bear's club-shaped glycoprotein projections. There are subtypes of corona virus, alpha corona virus, beta corona virus, gamma corona virus, and delta corona virus, and each subtype has many serotypes. For example, OC43-like and 229E-like have been shown to affect humans, whereas the other types mainly affect animals (Fig. 2) . Corona viruses are transmitted via airborne zoonotic droplets, and viral replication occurs in the ciliated epithelium, resulting in cellular damage and inflammatory reactions at the site of infection [3, 4] . In addition to humans, corona viruses are also found in bats, whales, pigs, birds, cats, dogs, and mice [11] [12] [13] [14] [15] .",The history and epidemiology of Middle East respiratory syndrome corona virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5545842/
"What is known about transmission, incubation, and environmental stability?","Disease models, including animal models for infection, disease and transmission","It has been suggested that the pathogenesis of SARS-CoV is mediated by disproportional immune responses and the ability of the virus to circumvent innate immunity. The COVID-19 infection has also been observed to induce pro-inflammatory cytokine generation and secretion of cytokines, such as IL-6, which dysregulates the local inflammatory responses that have been suggested as partially responsible for the devastating acute respiratory distress syndrome.",14:1022; www.ecancer.org,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7105343/
"What is known about transmission, incubation, and environmental stability?",Effectiveness of movement control strategies to prevent secondary transmission in health care and community settings,"In December 2019, an outbreak of Corona Virus Disease 2019 (COVID-19) caused by a novel coronavirus (severe acute respiratory syndrome coronavirus 2, SARS-CoV-2) began in Wuhan (Hubei, China) and spread rapidly (1) . Recently, SARS-CoV-2 outbreaks in several other countries in the world. It seems a global pandemic is inevitable. Without efficient medicine, early detection and isolation becomes essential against novel coronavirus. However, as more secondary and tertiary cases have appeared, contact history and clinical manifestation may be not clear under certain circumstances. Chest computed tomography (CT) has been highly recommended for screening patients with suspected SARS-CoV-2 (2) .
",How to differentiate COVID-19 pneumonia from heart failure with computed tomography at initial medical contact during epidemic period Running title: CT imaging for COVID-19 and heart failure,https://doi.org/10.1101/2020.03.04.20031047
"What is known about transmission, incubation, and environmental stability?",Effectiveness of movement control strategies to prevent secondary transmission in health care and community settings,"Non-pharmaceutical interventions remain central for management of COVID-19 because there are no licensed vaccines or coronavirus antivirals. If the situation changes towards much wider community transmission with multiple international foci, the WHO strategy of containment for elimination could need to be adjusted to include mitigation strategies combined with the following activities currently recommended by STAG-IH on the WHO website.
",,https://doi.org/10.1016/s0140-6736(20)30374-3
"What is known about transmission, incubation, and environmental stability?","Disease models, including animal models for infection, disease and transmission","Ecological and epidemiological studies to identify landscape changes and human practices that could enable a coronavirus to spillover from bats are also necessary [103] . Such studies enabled researchers to decipher the transmission cycle of Nipah virus in Malaysia and Bangladesh, which led to public health policies to change farming practices to control the spillover of Nipah virus from bats [104] [105] [106] .
",viruses Bats and Coronaviruses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6356540/
"What is known about transmission, incubation, and environmental stability?","Disease models, including animal models for infection, disease and transmission","Corona Virus Disease 2019 (COVID-19) is a recently emerged life-threatening viral pneumonia disease caused by SARS-CoV-2 (named 2019-nCoV before February 11, 2020) (1) . COVID-19 is spreading worldwide, and as of February 29, 2020, approximately 80,000 confirmed cases had been identified in the world. SARS-CoV-2 belongs to the beta coronavirus genus and its genome is single-stranded, non-segmented positive-sense RNA, which is 29,881 nucleotides in length (2) . It has 84% nucleotide homology with bat SARS-like coronavirus, 78% homology with human SARS virus, and approximately 50% homology with MERS virus (3, 4) . So far, the full-length genomic sequences between virus samples are almost identical (3) , suggesting that no significant mutations have occurred in the virus (5) .
",Rapid Detection of SARS-CoV-2 Using Reverse transcription RT-LAMP method,https://doi.org/10.1101/2020.03.02.20030130
"What is known about transmission, incubation, and environmental stability?","Persistence and stability on a multitude of substrates and sources (e.g., nasal discharge, sputum, urine, fecal matter, blood).
Persistence of virus on surfaces of different materials (e,g., copper, stainless steel, plastic).","Coronavirus (CoV) is an enveloped, single-stranded, positivesense RNA virus. Although respiratory CoVs are largely secreted by the nasal route, the role of fecal/oral transmission has not been fully explored. Earlier studies have demonstrated that CoV stability largely depends on environmental temperature (Ijaz et al., 1985; Siddell et al., 1983; Tennant et al., 1994) . CoVs are inactivated at 56 C within 10e15 min, at 37 C after several days, and at 4 C after several months. However, at À60 C, CoVs can survive for many years without loss of infectivity (Andries et al., 1978; McIntosh et al., 1974; Siddell et al., 1983) . Survival studies of human coronavirus (HCoV)-229E and HCoV-OC43 demonstrated that both viruses survived in a saline solution up to 6 days at room temperature, but after drying on hospital surfaces, they survived as long as 3 h; although survival differences between the two viruses were observed (Sizun et al., 2000) . These findings suggest that surfaces and suspensions can be sources of contamination for hospitalacquired CoV infections (Sizun et al., 2000) .
",Stability of bovine coronavirus on lettuce surfaces under household refrigeration conditions,
"What is known about transmission, incubation, and environmental stability?","Persistence and stability on a multitude of substrates and sources (e.g., nasal discharge, sputum, urine, fecal matter, blood).
Persistence of virus on surfaces of different materials (e,g., copper, stainless steel, plastic).","The virus can remain alive in respiratory specimens, such as NPA or TNS specimens, for 17 days at room temperature and for 120 days at 4?C (figure 2). Table 1 shows the duration of survival for SARS-CoV on different materials. Even with a relatively high virus load in the droplet, rapid loss of infectivity was observed for paper and cotton material. Inactivation on impervious surface took much longer. No cell culture toxicity was observed for the paper, disposable gown, or cotton nondisposable gown. 
",Survival of Severe Acute Respiratory Syndrome Coronavirus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7107832/
"What is known about transmission, incubation, and environmental stability?","Persistence and stability on a multitude of substrates and sources (e.g., nasal discharge, sputum, urine, fecal matter, blood).
Persistence of virus on surfaces of different materials (e,g., copper, stainless steel, plastic).","Coronavirus persists in an infectious state on common surface materials for several days. An inoculum of 10 3 plaque forming units (PFU) persisted on polyfluorotetraethylene (Teflon; PTFE), polyvinyl chloride (PVC), ceramic tiles, glass, and stainless steel for at least 5 days (and 3 days for silicon rubber) at 21°C and a relative humidity of 30% to 40% (Fig. 1) .",Human Coronavirus 229E Remains Infectious on Common Touch Surface Materials,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4659470/
"What is known about transmission, incubation, and environmental stability?","Persistence and stability on a multitude of substrates and sources (e.g., nasal discharge, sputum, urine, fecal matter, blood).
Persistence of virus on surfaces of different materials (e,g., copper, stainless steel, plastic).","In their review article 'Persistence of coronaviruses on inanimate surfaces and their inactivation with biocidal agents' in this journal the authors claim that (2): 'The analysis of 22 studies reveals that human coronaviruses such as Severe Acute Respiratory Syndrome (SARS) coronavirus, Middle East Respiratory Syndrome (MERS) coronavirus or endemic human coronaviruses (HCoV) can persist on inanimate surfaces like metal, glass or plastic for up to 9 days'.
",,https://doi.org/10.1016/j.jhin.2020.03.026
"What is known about transmission, incubation, and environmental stability?","Disease models, including animal models for infection, disease and transmission","Development of animal models for SARS-CoV infection of humans is of utmost importance to elucidate the pathogenesis of SARS and to develop intervention strategies against the infection. A wide range of animal species is susceptible to experimental infection with SARS-CoV, including rodents (mice and hamsters), carnivores (ferrets and cats), and nonhuman primates (cynomolgus and rhesus macaques, common marmosets, and African green monkeys) [
",Nonhuman Primate Models for SARS,0
"What is known about transmission, incubation, and environmental stability?",Implementation of diagnostics and products to improve clinical processes,"Given the critical role of computed tomography (CT) in the diagnosis and monitoring of therapy for this global health emergency (6), a baseline characterization of COVID-19 cases is urgently needed in order to achieve a more accurate diagnosis. We retrospectively compared characteristics of representative patients who died without any underlying diseases. Our findings could provide understanding of chest morphometry of COVID-19 pneumonia and a helpful path toward improving of clinical strategies against the disease.
",,https://doi.org/10.1016/j.acra.2020.03.023
"What is known about transmission, incubation, and environmental stability?",Natural history of the virus and shedding of it from an infected person,"Corona Virus Disease 2019 (COVID-19) is a recently emerged life-threatening viral pneumonia disease caused by SARS-CoV-2 (named 2019-nCoV before February 11, 2020) (1) . COVID-19 is spreading worldwide, and as of February 29, 2020, approximately 80,000 confirmed cases had been identified in the world. SARS-CoV-2 belongs to the beta coronavirus genus and its genome is single-stranded, non-segmented positive-sense RNA, which is 29,881 nucleotides in length (2) . It has 84% nucleotide homology with bat SARS-like coronavirus, 78% homology with human SARS virus, and approximately 50% homology with MERS virus (3, 4) . So far, the full-length genomic sequences between virus samples are almost identical (3) , suggesting that no significant mutations have occurred in the virus (5) .
",Rapid Detection of SARS-CoV-2 Using Reverse transcription RT-LAMP method,https://doi.org/10.1101/2020.03.02.20030130
"What is known about transmission, incubation, and environmental stability?",Natural history of the virus and shedding of it from an infected person,"According to rapid spread of new corona virus 2019 in the world (reported in 86 countries as of March 5, 2020), it is crucial to stablish robust clinical data to help health care providers control the outbreak (17). Early diagnosis of 2019-nCoV can lead to patient isolation strategies which in turn leads to reduction of viral transition. The epidemiological history may be vague and the sign and symptoms of the disease may resemble other viral infections. The RT-PCR tests of serum or respiratory specimens may be unavailable for all suspected patients as well.
",Clinical characterization and chest CT findings in laboratory-confirmed COVID-19: a systematic review and meta-analysis,https://doi.org/10.1101/2020.03.05.20031518
What do we know about COVID-19 risk factors?,"Smoking, pre-existing pulmonary disease","Exposure to the virus appears to be through direct or indirect contact and possibly through droplet infection [4 ] . The primary lesion in SARS patients is diffuse alveolar damage, which corresponds clinically to acute respiratory distress syndrome [10 ] . The pathogenesis is poorly understood, particularly of the severe pulmonary disease that some patients develop in the second week after the onset of symptoms, when SARS-CoV is not detectable in lung tissue [5] . Hypotheses include an overexuberant host response resulting in generalized hypercytokinemia [11 ] and pulmonary fibrosis owing to virus-induced damage at an early stage of the disease [10 ]. Clarification of the pathogenesis is important to guide therapy. Antibiotics, corticosteroids, ribavirin and oseltamivir have been used in treatment, but their efficacy is not known [4 ] .",Emerging viral infections in a rapidly changing world,https://doi.org/10.1016/j.copbio.2003.10.010
What do we know about COVID-19 risk factors?,"Smoking, pre-existing pulmonary disease","Viruses 2019, 11, x FOR PEER REVIEW 12 of 21 of pos-RNA together with neg-RNA in the sputum (until day 9 and 10 of the hospital stay, respectively) supports the concept of active viral replication within the respiratory tract, rather than plasma spill-over or prolonged RNA stability [14] . Overall, the pathophysiological mechanisms of pulmonary disease in patients with EVD are still uncertain, but there could be multiple contributing factors, including vascular leak from endothelial infection, cytokine dysregulation, or direct damage to EBOV-infected cells (Figure 2 ).",viruses Pulmonary Involvement during the Ebola Virus Disease,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6784166/
What do we know about COVID-19 risk factors?,"Smoking, pre-existing pulmonary disease","In humans, acute viral infection often leads to the development of acute respiratory distress syndrome (ARDS), resulting from acute lung injury (Beigel et al., 2005) . Histological analysis shows that 64% of ARDS patients may have pulmonary fibrosis (PF) during recovery (Martin et al., 1995) . To demonstrate mechanistic correlation between viral infection, ARDS and PF, mouse models of viral infection has been utilized. Animal studies have produced additional evidence that viruses can trigger fibrosis. Murine gammaherpesvirus 68 (MHV-68) infects mouse lungs and was shown to trigger pulmonary fibrosis in interferon (IFN)-g receptor knockout mice (IFN-gammaR -/-) (Mora et al., 2005) . Additionally, when an anti-viral drug cidofovir was used post infection, it resulted in protection from pulmonary fibrosis (Mora et al., 2007) . A similar protective effect was seen in infections involving a mutant MHV-68 that was defective for reactivation from latency suggesting a connection between virus life cycle and lung fibrosis for this virus (Mora et al., 2007) .",The role of epidermal growth factor receptor (EGFR) signaling in SARS coronavirus-induced pulmonary fibrosis,https://doi.org/10.1016/j.antiviral.2017.03.022
What do we know about COVID-19 risk factors?,Co-infections (determine whether co-existing respiratory/viral infections make the virus more transmissible or virulent) and other co-morbidities,"In this study we prospectively investigated the association between respiratory tract viral infection and COPD exacerbation and the likely mechanism by which common respiratory tract viruses could induce aberrant immune responses in the lung. By using a well-characterized cohort of former, current, or never smokers with and without advanced lung disease, we have previously shown that AE-COPD occurs in smokers with severe and very severe COPD (FEV 1 <50%) and that HRVs are among the most common viral isolates linked to respiratory tract infection. [25] [26] [27] In this work we show that BAL fluid from subjects with COPD and respiratory failure shows significantly higher concentrations of the T H 1-associated chemokines CXCL10 and CXCL9. However, the unexpected detection of IL-4 (albeit low), the canonical T H 2 cytokine, 28 provided initial evidence that mixed T H 1 and T H 2 responses elicited by viruses might be contributing to the respiratory failure seen in these patients.",Human rhinovirus proteinase 2A induces T H 1 and T H 2 immunity in patients with chronic obstructive pulmonary disease,0
What do we know about COVID-19 risk factors?,Co-infections (determine whether co-existing respiratory/viral infections make the virus more transmissible or virulent) and other co-morbidities,"2 progress to acute respiratory distress syndrome (ARDS) in some patients 4, 5 . Age and comorbidities seem to be the main risk factors for development of severe disease 6-8 . However, the dynamics of virus replication, interaction with host immune responses, and spread within the respiratory tract are still being established. Because a vaccine may not be available for 9-18 months, there is a critical need to further understand the infection in order to quickly identify pharmacologic interventions and optimal therapeutic designs that work to lessen virus dissemination and disease severity. However, this requires an international community effort that integrates expertise across a variety of domains and a platform that can be iteratively updated as new information and data arises.",Rapid community-driven development of a SARS-CoV-2 tissue simulator,https://doi.org/10.1101/2020.04.02.019075
