Task Name,Sub-tasks,Output,Title,URL
What do we know about COVID-19 risk factors?,"Smoking, pre-existing pulmonary disease","Exposure to the virus appears to be through direct or indirect contact and possibly through droplet infection [4 ] . The primary lesion in SARS patients is diffuse alveolar damage, which corresponds clinically to acute respiratory distress syndrome [10 ] . The pathogenesis is poorly understood, particularly of the severe pulmonary disease that some patients develop in the second week after the onset of symptoms, when SARS-CoV is not detectable in lung tissue [5] . Hypotheses include an overexuberant host response resulting in generalized hypercytokinemia [11 ] and pulmonary fibrosis owing to virus-induced damage at an early stage of the disease [10 ]. Clarification of the pathogenesis is important to guide therapy. Antibiotics, corticosteroids, ribavirin and oseltamivir have been used in treatment, but their efficacy is not known [4 ] .",Emerging viral infections in a rapidly changing world,https://doi.org/10.1016/j.copbio.2003.10.010
What do we know about COVID-19 risk factors?,"Smoking, pre-existing pulmonary disease","Viruses 2019, 11, x FOR PEER REVIEW 12 of 21 of pos-RNA together with neg-RNA in the sputum (until day 9 and 10 of the hospital stay, respectively) supports the concept of active viral replication within the respiratory tract, rather than plasma spill-over or prolonged RNA stability [14] . Overall, the pathophysiological mechanisms of pulmonary disease in patients with EVD are still uncertain, but there could be multiple contributing factors, including vascular leak from endothelial infection, cytokine dysregulation, or direct damage to EBOV-infected cells (Figure 2 ).",viruses Pulmonary Involvement during the Ebola Virus Disease,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6784166/
What do we know about COVID-19 risk factors?,"Smoking, pre-existing pulmonary disease","In humans, acute viral infection often leads to the development of acute respiratory distress syndrome (ARDS), resulting from acute lung injury (Beigel et al., 2005) . Histological analysis shows that 64% of ARDS patients may have pulmonary fibrosis (PF) during recovery (Martin et al., 1995) . To demonstrate mechanistic correlation between viral infection, ARDS and PF, mouse models of viral infection has been utilized. Animal studies have produced additional evidence that viruses can trigger fibrosis. Murine gammaherpesvirus 68 (MHV-68) infects mouse lungs and was shown to trigger pulmonary fibrosis in interferon (IFN)-g receptor knockout mice (IFN-gammaR -/-) (Mora et al., 2005) . Additionally, when an anti-viral drug cidofovir was used post infection, it resulted in protection from pulmonary fibrosis (Mora et al., 2007) . A similar protective effect was seen in infections involving a mutant MHV-68 that was defective for reactivation from latency suggesting a connection between virus life cycle and lung fibrosis for this virus (Mora et al., 2007) .",The role of epidermal growth factor receptor (EGFR) signaling in SARS coronavirus-induced pulmonary fibrosis,https://doi.org/10.1016/j.antiviral.2017.03.022
What do we know about COVID-19 risk factors?,Co-infections (determine whether co-existing respiratory/viral infections make the virus more transmissible or virulent) and other co-morbidities,"In this study we prospectively investigated the association between respiratory tract viral infection and COPD exacerbation and the likely mechanism by which common respiratory tract viruses could induce aberrant immune responses in the lung. By using a well-characterized cohort of former, current, or never smokers with and without advanced lung disease, we have previously shown that AE-COPD occurs in smokers with severe and very severe COPD (FEV 1 <50%) and that HRVs are among the most common viral isolates linked to respiratory tract infection. [25] [26] [27] In this work we show that BAL fluid from subjects with COPD and respiratory failure shows significantly higher concentrations of the T H 1-associated chemokines CXCL10 and CXCL9. However, the unexpected detection of IL-4 (albeit low), the canonical T H 2 cytokine, 28 provided initial evidence that mixed T H 1 and T H 2 responses elicited by viruses might be contributing to the respiratory failure seen in these patients.",Human rhinovirus proteinase 2A induces T H 1 and T H 2 immunity in patients with chronic obstructive pulmonary disease,0
What do we know about COVID-19 risk factors?,Co-infections (determine whether co-existing respiratory/viral infections make the virus more transmissible or virulent) and other co-morbidities,"2 progress to acute respiratory distress syndrome (ARDS) in some patients 4, 5 . Age and comorbidities seem to be the main risk factors for development of severe disease 6-8 . However, the dynamics of virus replication, interaction with host immune responses, and spread within the respiratory tract are still being established. Because a vaccine may not be available for 9-18 months, there is a critical need to further understand the infection in order to quickly identify pharmacologic interventions and optimal therapeutic designs that work to lessen virus dissemination and disease severity. However, this requires an international community effort that integrates expertise across a variety of domains and a platform that can be iteratively updated as new information and data arises.",Rapid community-driven development of a SARS-CoV-2 tissue simulator,https://doi.org/10.1101/2020.04.02.019075
What do we know about COVID-19 risk factors?,"Transmission dynamics of the virus, including the basic reproductive number, incubation period, serial interval, modes of transmission and environmental factors","The importance of infectious bioaerosols in disease transmission has been long-acknowledged, yet poorly understood. Paltry data and methodological heterogeneity limit many related studies. Effective ventilation and infection prevention and control (IP & C) measures in the form of droplet and airborne isolation in healthcare institutions underscore the contribution of these modes of pathogen dispersion. Moreover, recent outbreaks such as the Severe Acute Respiratory Syndrome coronavirus (SARS-CoV) and Middle East Respiratory Syndrome coronavirus (MERS-CoV) outbreaks highlight major gaps in our ability to assess and determine risk and to mitigate patient and healthcare worker (HCW) exposure alike (1, 2) .","MINI REVIEW Bioaerosols and Transmission, a Diverse and Growing Community of Practice",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6394210/
What do we know about COVID-19 risk factors?,"Severity of disease, including risk of fatality among symptomatic hospitalized patients, and high-risk patient groups","The recent pandemic of coronavirus disease 2019 , caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has caused unprecedented morbidity and mortality in almost all the continents (1) . Despite implementations of extensive control measures, spread of the disease and eventual fatality could not be effectively halted till date. The major cause of death in COVID-19 is due to virus-induced pneumonia leading to respiratory failure (2) . Epidemiological evidence suggests that older age and the associated co-morbidities such as cardiovascular disease and diabetes put patients at higher risk of mortality (3) . Thus identification of novel risk factors predictive for patients' outcome including mortality is needed. Patients aged beyond 62 years are at higher risk of fatality whereas hospitalization within 2 days of the onset of symptoms could reduce mortality in COVID-19 patients.
",A Machine Learning Model Reveals Older Age and Delayed Hospitalization as Predictors of Mortality in Patients with COVID-19,https://doi.org/10.1101/2020.03.25.20043331
What do we know about COVID-19 risk factors?,"Severity of disease, including risk of fatality among symptomatic hospitalized patients, and high-risk patient groups","In this paper, we used survival analysis to estimate the fatal risk of pre-existing comorbidities in COVID-19, based on publicly reported confirmed cases and adjusted for the confounding effect of age, gender, and early period of the pandemic when no-intervention was taken. There were three major findings: First, a history of comorbidities significantly increased the death risk of COVID-19: one additional pre-existing comorbidity led to an estimated 40% increase of death risk (p<0.001). Second, after adjusting for confounders, CHD was the only significant risk factor for COVID-19 mortality. Patients with CHD had a 200% higher risk of mortality in COVID-19, compared to patients without CHD (p<0.001). For a patient profile (65-",History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study,https://doi.org/10.1101/2020.03.23.20041848
What do we know about COVID-19 risk factors?,"Severity of disease, including risk of fatality among symptomatic hospitalized patients, and high-risk patient groups","Three key-independent risk factors of COVID-19 were identified, including age, PII, and Ct value. The Ct value is closely correlated with the severity of COVID-19, and may act as a predictor of clinical severity of COVID-19 in the early stage. SARS-CoV-2 myocarditis should be highlighted despite a relatively low incidence rate (4.8%). The oxygen pressure and blood oxygen saturation should not be neglected as closely linked with the altitude of epidemic regions.",COVID-19 Myocarditis and Severity Factorsï¼š An Adult Cohort Study Authors,https://doi.org/10.1101/2020.03.19.20034124
"What do we know about virus genetics, origin, and evolution?",Sustainable risk reduction strategies,"The effect of awareness on the disease dynamics can also be observed in the probability of infection during the 206 course of the epidemic. In the model with awareness and no measures, the probability of infection is reduced by 207 4% for all individuals. Handwashing with an efficacy of 30% reduces the respective probability by 14% for unaware 208 individuals and by 29% for aware individuals. Note that the probability of infection is highly dependent on the 209 type of prevention measure. The detailed analysis is given in the Appendix. show the relative reduction in the peak number of diagnoses, the attack rate (proportion of the population that recovered or died after severe infection) and the time until the peak number of diagnoses. The efficacy of prevention measures was varied between 0% and 100%. In the context of this study, the efficacy of social distancing denotes the reduction in the contact rate. The efficacy of handwashing and mask-wearing are given by the reduction in susceptibility and infectivity, respectively. The simulations were started with one case. Government-imposed social distancing was initiated after 10 diagnoses and lifted after 3 months. For parameter values, see Table 1. 11 . CC-BY-NC-ND 4.0 International license It is made available under a author/funder, who has granted medRxiv a license to display the preprint in perpetuity.
",Modeling the Comparative Impact of Individual Quarantine vs. Active Monitoring of Contacts for the Mitigation of COVID-19,https://doi.org/10.1101/2020.03.05.20031088
"What do we know about virus genetics, origin, and evolution?",Sustainable risk reduction strategies,"all contacts are traced and under active monitoring, since symptom onset is the event that triggers, with some delay, isolation. Mass quarantine is expected to result in prompt isolation upon symptom onset of any truly infected individuals, but the impact of this strategy on COVID-19 will depend heavily on whether presymptomatic exposure within the group is decreased or increased by the approach to confinement. That is, mass quarantine may reduce or increase the number of uninfected contacts exposed to presymptomatic infectiousness of those who do go on to develop the disease. In serial interval scenario 1, where a mean of 20% of transmission is expected to occur before symptom onset, the positive effect of prompt isolation can be offset by an increase in presymptomatic transmission in a confined space. Mass quarantines can also result in unintended consequences that can exacerbate transmission of COVID-19 such as avoidance of contact tracers and inaccurate recall, or other infectious diseases more broadly, such as a reduction in healthcare worker support, availability of supplies, or high-density settings. 20 The impact of travel restrictions on human mobility, a necessary first step in the causal chain to outbreak containment, is difficult to measure, but the impact has been documented in Sierra Leone during the 2014-2016 epidemic of Ebola Virus Disease. 21 The conflicting conclusions from our two scenarios, driven largely by the differences in the extent of presymptomatic transmission, highlight the urgent need for more data to clarify key epidemiological parameters of COVID-19, particularly the serial interval and the extent of presymptomatic transmission, in order to inform response efforts. These highly influential parameters warrant further study to improve data-driven policy-making. In addition, our choice to consider shifts of the latent period relative to the infectious period implicitly assumes a similar shape to the underlying distributions, albeit with different means. As the amount of asymptomatic transmission will depend not only on the average timing of latent period relative to the incubation period, but also on the standard deviation of these distributions, more data on their true shapes is urgently needed.
",Modeling the Comparative Impact of Individual Quarantine vs. Active Monitoring of Contacts for the Mitigation of COVID-19,https://doi.org/10.1101/2020.03.05.20031088
"What do we know about virus genetics, origin, and evolution?",Sustainable risk reduction strategies,"With the advent of new and broader spectrum antibiotics, improved environmental hygiene, and advances in microbiological techniques it was widely expected that the need for diagnosis of infectious agents in tissue would diminish in importance. This assumption underestimated the infinite capacity of infectious agents for genomic variation, enabling them to develop antimicrobial resistance and exploit new opportunities to spread infections which are created when host defenses become compromised. The following are currently the most important factors influencing the presentation of infectious diseases: • The increased mobility of the world's population through tourism, immigration and inter national commerce has distorted natural geographic boundaries to infection, exposing weaknesses in host defenses, and in knowledge. • Immunodeficiency states occurring either as part of an infection, e.g. Human Immunodeficiency Virus (HIV) which causes acquired immune deficiency syndrome (AIDS), or as an iatrogenic disease. As treatment becomes more aggressive, depression of the host's immunity occurs, enabling organisms of low virulence to become life-threatening, and may allow latent infections, accrued throughout life, to reactivate and spread. • Emerging, re-emerging and antibiotic-resistant organisms such as the tubercle bacillus and staphylococcus are a constant and growing threat. • Adaptive mutation occurring in microorganisms allows them to jump species barriers and exploit new physical environments. Such adaptation allows infections to evade host defenses and resist agents of treatment. • Bioterrorism has become an increasing concern.
",NA,https://doi.org/10.1016/b978-0-7020-6864-5.00016-5
"What do we know about virus genetics, origin, and evolution?",Real-time tracking of whole genomes and a mechanism for coordinating the rapid dissemination of that information to inform the development of diagnostics and therapeutics and to track variations of the virus over time.,"The National Institute of Allergy and Infectious Diseases (NIAID) funds a Genomic Sequencing Center for Infectious Diseases (GSCID) at the J. Craig Venter Institute (JCVI). One of the goals of the GSCID is high throughput sequencing of various viral pathogens. The viral genome sequencing projects at JCVI have resulted in publication of more than 4000 influenza virus genomes from clinical and animal reservoir specimens, and hundreds of coronavirus and rotavirus sequences. Prediction of protein coding genes encoded in these viral genomes is a critical step to understanding these pathogenic viruses. In order to have a flexible, accurate gene prediction tool for utilization in high throughput viral genome sequencing projects, we developed a viral annotation program, VIGOR (Viral Genome ORF Reader). VIGOR uses a similarity-based approach to detect open reading frames (ORF) in various viral genomes by similarity searches against custom reference protein sequence databases. VIGOR takes into account differences between the genomic structures of viral taxonomic groups. VIGOR is tailored for the designated viruses with complex gene features such as splicing and frame-shifting, and it is able to predict genes accurately in influenza (group A, B, and C), coronavirus (including SARS coronavirus), rhinovirus, and rotavirus genomes. It was also designed to assign function to the predicted ORFs and genotype influenza viruses. In addition to gene prediction, VIGOR can also be used as a tool to validate sequence accuracy and completeness during the genome finishing process.
","VIGOR, an annotation program for small viral genomes",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2942859/
"What do we know about virus genetics, origin, and evolution?",Real-time tracking of whole genomes and a mechanism for coordinating the rapid dissemination of that information to inform the development of diagnostics and therapeutics and to track variations of the virus over time.,"A novel development in sequence analysis that has evolved recently is spatio-temporal analysis of infectious disease evolution. Typically, sequence analysis is performed on a collection of biological sequences that are assumed to share an evolutionary relationship. However, the flood of publicly available and newly generated pathogen sequences annotated with host organism, time of isolation and country of origin have opened up the possibility of incorporating these parameters in the study of microbial pathogen evolution. Sheng et al. [24] have recently shown how geographical and time information in public biological databases could be integrated with pattern-mining algorithms to study antigenic changes in influenza A viruses. The likelihood of one virus being able to mutate into another form is dependent on whether they exist within a certain time period, the connectivity between the locations where they were collected and their sequence similarity. The method was used to trace the evolution trajectory of H5N1, H1N1 and H3N2 subtypes in Asia, the USA and Europe at different time points. Attempts to unify the epidemiological and evolutionary processes that drive spatio-temporal incidence and phylogenetic patterns at different scales have also been reported. For instance, Grenfell et al. [25] introduced a phylodynamic framework to study how pathogen genetic variation -modulated by host immunity, transmission bottlenecks and epidemic dynamics -affects the diversity of epidemiological and phylogenetic patterns in measles, influenza A viruses, HIV, dengue and hepatitis C virus.
",NA,NA
"What do we know about virus genetics, origin, and evolution?",Animal host(s) and any evidence of continued spill-over to humans,"We have shown that human SARS-CoV can infect domesticated mammals, in particular, the pig. The direct source of SARS-CoV transmission to the identified infected pigs was most likely virus-contaminated animal feed because the farm where the infected pig was identified is rather remote, >1 km from the nearest village. The only person routinely in close contact with the animals is the swineherd, whose serum samples were negative for SARS-CoV on all tests. Swineherds in rural areas often obtain leftovers from restaurants in the cities for use as hogwash (without thoroughly fermenting it). Thus, even if no direct evidence for human-to-swine SARS-CoV transmission exists, a strong warning should be issued to prevent such a practice, or regulatory procedures should be instituted to block this route of disease propagation (15) . Whether or not other domesticated (such as dogs and cats) and wild animals that are common in and around human settlements can easily contract and pass on SARS-CoV remains to be seen in future studies. Intensive surveillance and investigations on animals, especially during and after an outbreak of SARS, will lead to a better understanding and ability to control this disease's natural animal reservoirs and to prevent interspecies transmission events. This study was supported by grants from Chinese Academy of Sciences and Tianjin Institute of Animal Husbandry and Veterinary Science.
",SARS-associated Coronavirus Transmitted from Human to Pig,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3298239/
